gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	updown	symbol	genename	ensembl	refseq	entrezid	GO
11	FBgn0001301	1278.27644463136	0.212310201103685	0.066749510149995	3.18070051190782	0.00146919427415973	0.0445103786439095	1	kel	kelch	FBgn0001301	NM_057241	35084	GO:0003779|GO:0007297|GO:0007300|GO:0007301|GO:0007301|GO:0007349|GO:0030036|GO:0030717|GO:0030723|GO:0035183|GO:0035324|GO:0045172|GO:0045172|GO:0048477|GO:0048477
12	FBgn0001311	155.237643613636	2.6953256196281	0.805550326638227	3.34594317759935	0.000820031985280693	0.0309929863895474	1	kkv	krotzkopf verkehrt	FBgn0001311	NM_079509	45884	GO:0001838|GO:0004100|GO:0004100|GO:0005737|GO:0006031|GO:0006035|GO:0006035|GO:0006038|GO:0007424|GO:0007443|GO:0008362|GO:0009611|GO:0016021|GO:0030428|GO:0035002|GO:0035149|GO:0035149|GO:0035158|GO:0035159|GO:0045177|GO:0060439|GO:0071944
13	FBgn0002936	3646.38357069764	-0.643734646414096	0.0913628899186519	-7.04590941669279	1.8425409581194e-12	3.39711908649843e-09	-1	ninaA	neither inactivation nor afterpotential A	FBgn0002936	NM_057308	33271	GO:0000413|GO:0003755|GO:0003755|GO:0005737|GO:0005788|GO:0006457|GO:0006458|GO:0006491|GO:0006517|GO:0016018|GO:0016018|GO:0016021|GO:0016063|GO:0016063|GO:0030176|GO:0031410|GO:0043231|GO:0070059
14	FBgn0002940	766082.832944967	-0.308343544754097	0.0725170078298588	-4.25201692653316	2.11853843649659e-05	0.00227848808845208	-1	ninaE	neither inactivation nor afterpotential E	FBgn0002940	NM_079683	42367	GO:0005515|GO:0005769|GO:0005887|GO:0007186|GO:0007601|GO:0007602|GO:0007602|GO:0007602|GO:0008020|GO:0008020|GO:0008020|GO:0008344|GO:0008594|GO:0009584|GO:0009589|GO:0009642|GO:0016027|GO:0016027|GO:0016028|GO:0016029|GO:0030265|GO:0031410|GO:0042052|GO:0042331|GO:0043052|GO:0046673|GO:0071482|GO:0071482|GO:0071632|GO:0097038
15	FBgn0031836	5809.60685591649	0.166400278686683	0.0531201388432051	3.13252717915229	0.00173308380752562	0.049158636527309	1	CG11050	uncharacterized protein	FBgn0031836	NM_135208	33924	GO:0002953
16	FBgn0031850	4014.49767689925	0.46387522946741	0.107302693979571	4.32305296599286	1.53884770538735e-05	0.00183892300793788	1	Tsp	Thrombospondin	FBgn0031850	NM_001144330	33941	GO:0005509|GO:0005576|GO:0005927|GO:0007517|GO:0008201|GO:0016203|GO:0032991|GO:0033627|GO:0062023|GO:0062023
17	FBgn0031857	3320.56757984399	0.269182623749096	0.0689748600086968	3.9026193560256	9.51572879730879e-05	0.00718187110281095	1	LUBEL	Linear Ubiquitin E3 ligase	FBgn0031857	NM_001169425	33950	GO:0000209|GO:0004842|GO:0005575|GO:0008270|GO:0010286|GO:0036435|GO:0036435|GO:0050829|GO:0061059|GO:0061630|GO:0061630|GO:0070530|GO:0070530|GO:0071797|GO:0097039|GO:0097039|GO:1990450|GO:1990450
18	FBgn0031879	2544.62531830101	0.554713220345032	0.104342202071322	5.3162882259842	1.05905349499312e-07	4.14186194132762e-05	1	uif	uninflatable	FBgn0031879	NM_001144332	33983	GO:0005112|GO:0005112|GO:0005509|GO:0007219|GO:0016324|GO:0016360|GO:0031901|GO:0035152|GO:0045167|GO:0045746|GO:0046716
19	FBgn0031940	344.108451956314	4.66583230553889	0.888177336683014	5.25326656381923	1.49425028243602e-07	5.35807746675829e-05	1	CG7214	uncharacterized protein	FBgn0031940	NM_135297	34053	NA
20	FBgn0031942	7077.18852189465	2.62549501097296	0.669108750142232	3.92386889338222	8.7138169198655e-05	0.00677639570909674	1	CG7203	uncharacterized protein	FBgn0031942	NM_001298784	34055	NA
21	FBgn0031959	250.539040834702	0.565855144813066	0.17442868595627	3.24404865926083	0.00117843612971339	0.0381070648963847	1	spz3	spatzle 3	FBgn0031959	NM_135316	34077	GO:0005121|GO:0005576|GO:0005615|GO:0008083|GO:0008592|GO:0021556|GO:0045087
22	FBgn0031990	5568.87146268013	0.239829675599542	0.0596199802075439	4.02263930254031	5.75495957490306e-05	0.00497125667759827	1	PAPLA1	Phosphatidic Acid Phospholipase A1	FBgn0031990	NM_001201785	34109	GO:0004620|GO:0004620|GO:0005654|GO:0005737|GO:0005737|GO:0006888|GO:0007283|GO:0008970|GO:0016063|GO:0017171|GO:0030134|GO:0030134|GO:0046872
23	FBgn0032006	3634.35446136046	0.304074473225158	0.0955093347913283	3.18371470065736	0.00145398241275711	0.0441531694565722	1	Pvr	PDGF- and VEGF-receptor related	FBgn0032006	NM_001169438	34127	GO:0002347|GO:0002921|GO:0004714|GO:0004714|GO:0004714|GO:0004714|GO:0005515|GO:0005524|GO:0005887|GO:0005887|GO:0006468|GO:0007169|GO:0007275|GO:0007298|GO:0007391|GO:0007419|GO:0007435|GO:0007443|GO:0008347|GO:0008347|GO:0014068|GO:0030031|GO:0030097|GO:0030335|GO:0033674|GO:0035099|GO:0035167|GO:0035167|GO:0035313|GO:0036335|GO:0038085|GO:0043066|GO:0043235|GO:0045087|GO:0045793|GO:0046330|GO:0046330|GO:0046529|GO:0048010|GO:0048010|GO:0048010|GO:0048542|GO:0048803|GO:0051897|GO:0061327|GO:0070374|GO:0070374|GO:1903688|GO:1903688|GO:1904263
24	FBgn0032047	90.0761615251069	-0.741952067626288	0.202068175452443	-3.67179080013472	0.000240856809029453	0.013754415828912	-1	CG13088	uncharacterized protein	FBgn0032047	NM_135390	34180	GO:0019005|GO:0019005|GO:0031146|GO:0031146
25	FBgn0032074	154.555668602059	0.448205947256785	0.140671972402953	3.1861780253774	0.00144165856138977	0.0438821825313594	1	Tsp29Fa	Tetraspanin 29Fa	FBgn0032074	NM_001169444	34211	GO:0003674|GO:0005887|GO:0008150|GO:0016021
26	FBgn0032083	560.884904365206	0.40540160901927	0.111086700530637	3.64941624049283	0.000262836921753279	0.014748579618034	1	CG9541	uncharacterized protein	FBgn0032083	NM_001273344	34220	GO:0004127|GO:0005524|GO:0005634|GO:0005737|GO:0006225|GO:0033862|GO:0046705
27	FBgn0032169	303.821050795906	-0.354424429038863	0.102654802924919	-3.45258496378475	0.000555242585010356	0.0242093270342691	-1	CG4709	uncharacterized protein	FBgn0032169	NM_001298859	34324	GO:0000978|GO:0000981|GO:0005634|GO:0006357|GO:0045892|GO:0046872
28	FBgn0032414	914.706068475764	0.666416699327088	0.187080986403408	3.56218294621386	0.000367783940647786	0.0185414825703138	1	CG17211	uncharacterized protein	FBgn0032414	NM_135708	34639	GO:0005178|GO:0005615|GO:0030513|GO:0031012|GO:0036122|GO:0060562|GO:0070700
29	FBgn0032512	897.758016965029	-0.441760261729703	0.115860625249275	-3.81285929347654	0.000137368324645518	0.00923372707226594	-1	Bdp1	B double prime 1	FBgn0032512	NM_001298961	34748	GO:0000126|GO:0000126|GO:0001006|GO:0001156|GO:0070898
30	FBgn0032515	4460.60601566077	-0.331587467454358	0.0638436835956775	-5.19373959614085	2.06111384873084e-07	6.82070136710774e-05	-1	loqs	loquacious	FBgn0032515	NM_001038814	34751	GO:0003725|GO:0003725|GO:0005515|GO:0005634|GO:0005737|GO:0005737|GO:0007417|GO:0009047|GO:0010586|GO:0016442|GO:0030422|GO:0030422|GO:0030422|GO:0030718|GO:0031054|GO:0031054|GO:0035197|GO:0035197|GO:0048132|GO:0070578|GO:0070578|GO:0070918|GO:0070920|GO:0070920|GO:0070922|GO:1905172
31	FBgn0032726	616.242694635983	-0.804405563691077	0.2055612026539	-3.91321685855984	9.10746754563532e-05	0.00699648667523628	-1	CG10621	uncharacterized protein	FBgn0032726	NM_001299142	35152	GO:0008898|GO:0009086|GO:0033528
32	FBgn0032775	2547.03552659159	-0.295351540176539	0.0808627566625573	-3.65250397545869	0.000259695574496308	0.0147001363353041	-1	CG17544	uncharacterized protein	FBgn0032775	NM_001169544	35213	GO:0003997|GO:0003997|GO:0005504|GO:0005777|GO:0005777|GO:0005777|GO:0005777|GO:0006635|GO:0016402|GO:0033540|GO:0050660|GO:0055088|GO:0071949
33	FBgn0032810	2349.71052502414	-0.305935759959083	0.0706747680452988	-4.32878336102914	1.49935330736043e-05	0.00183646997326846	-1	CG13077	uncharacterized protein	FBgn0032810	NM_001273663	35252	GO:0016491|GO:0020037|GO:0140571|GO:0140575
34	FBgn0032816	348.416544118172	-0.348345641767718	0.111424782293235	-3.12628514589314	0.00177029809311294	0.0496395792520746	-1	Nf-YB	Nuclear factor Y-box B	FBgn0032816	NM_001299160	35261	GO:0000976|GO:0000978|GO:0000981|GO:0001228|GO:0006357|GO:0016602|GO:0016602|GO:0043066|GO:0043410|GO:0043565|GO:0045678|GO:0045893|GO:0046982|GO:0048749
35	FBgn0032857	1474.75325070895	0.445185160603594	0.12852101161134	3.46390955861658	0.000532385472858634	0.0236115701467819	1	CG10947	uncharacterized protein	FBgn0032857	NM_136187	35309	GO:0005634|GO:0005737|GO:0006417|GO:0008757|GO:0018025
36	FBgn0033015	1772.50613426811	-0.266577775816144	0.0841085049939264	-3.16945088770028	0.00152727266624078	0.0453887604348504	-1	d4	d4	FBgn0033015	NM_001273778	35485	GO:0003712|GO:0007399|GO:0008270|GO:0035060|GO:0042393|GO:0045892|GO:0045944|GO:0071565
37	FBgn0033110	354.217347683992	0.934519930321196	0.188520593219658	4.95712385772267	7.15443707858356e-07	0.000177567624877307	1	CG9447	uncharacterized protein	FBgn0033110	NM_136399	35597	GO:0016747
38	FBgn0033188	10663.7236126549	0.476735337546647	0.0898380247798824	5.30660974253079	1.11682932764156e-07	4.23935273604175e-05	1	Drat	Death resistor Adh domain containing target	FBgn0033188	NM_001273850	35687	GO:0001666|GO:0001666|GO:0006066|GO:0008106|GO:0016616|GO:0071361
39	FBgn0033199	1442.2897504903	-0.399029556924268	0.095386622857971	-4.18328634528152	2.87325116777647e-05	0.00289704527900962	-1	CG17985	uncharacterized protein	FBgn0033199	NM_136461	35702	NA
40	FBgn0033257	170.813372035733	0.759131403797961	0.18438272025456	4.11715047239729	3.83585644145033e-05	0.00364011494362926	1	sand	sandman	FBgn0033257	NM_136505	35777	GO:0005267|GO:0005887|GO:0015271|GO:0016021|GO:0022841|GO:0030322|GO:0042321|GO:0045837|GO:0071805|GO:0071805|GO:1903351
41	FBgn0033289	1036.88452019982	0.265656059038894	0.0761564881706731	3.48829187663612	0.000486117104340312	0.022486836374968	1	CG2121	uncharacterized protein	FBgn0033289	NM_001144146	35814	GO:0005886|GO:0006936|GO:0006937|GO:0015459|GO:0043266|GO:0055120
42	FBgn0033308	558.685179464727	4.49701723161177	0.929019049714373	4.84060820173104	1.29442353645431e-06	0.000269989046823954	1	CG8736	uncharacterized protein	FBgn0033308	NM_136550	35841	GO:0042302
43	FBgn0033375	647.200816720681	-0.280597168696649	0.0852804451533089	-3.29028733600321	0.00100085123792693	0.034171920837791	-1	CG8078	uncharacterized protein	FBgn0033375	NM_136607	35920	GO:0000049|GO:0000049|GO:0002098|GO:0002143|GO:0002144|GO:0005829|GO:0016783|GO:0034227
44	FBgn0033421	814.366838899626	-0.398012341802459	0.0906901300634115	-4.38870626300971	1.14026956287263e-05	0.0014864968665085	-1	CG1888	uncharacterized protein	FBgn0033421	NM_001273898	35979	NA
45	FBgn0033438	2611.60394054977	0.170297839154182	0.05099989003365	3.33918051669952	0.000840259421202823	0.0309932599998296	1	Mmp2	Matrix metalloproteinase 2	FBgn0033438	NM_001273901	35997	GO:0002218|GO:0003144|GO:0003319|GO:0004175|GO:0004222|GO:0004222|GO:0004222|GO:0005615|GO:0005615|GO:0005886|GO:0006929|GO:0007419|GO:0007424|GO:0007426|GO:0007505|GO:0007561|GO:0008045|GO:0008270|GO:0009897|GO:0016485|GO:0030198|GO:0030425|GO:0030574|GO:0030728|GO:0031012|GO:0034769|GO:0035202|GO:0040037|GO:0042060|GO:0045216|GO:0046331|GO:0046529|GO:0071711|GO:0090090|GO:0097156|GO:1901202|GO:2000647
46	FBgn0033476	7014.87514594137	0.280217879363095	0.0771482687866069	3.63219918956549	0.000281016067611788	0.0152881010325948	1	oys	oysgedart	FBgn0033476	NM_001299336	36045	GO:0007009|GO:0007291|GO:0008354|GO:0016020|GO:0016020|GO:0016746|GO:0030258|GO:0030258|GO:0071617
47	FBgn0033502	352.695572407594	-0.370460380661828	0.107714429721309	-3.43928275552611	0.000583257696862782	0.0252582356884098	-1	CG12910	uncharacterized protein	FBgn0033502	NM_001273928	36082	GO:0006491|GO:0035250|GO:0043229
48	FBgn0033558	1113.62249565743	0.275813693894382	0.0811303356993505	3.39963703486303	0.000674753588705884	0.0272136556744942	1	CG12344	uncharacterized protein	FBgn0033558	NM_001299368	36145	GO:0004888|GO:0005231|GO:0005254|GO:0005887|GO:0007165|GO:0007268|GO:0022852|GO:0030594|GO:0034220|GO:0042391|GO:0042752|GO:0042752|GO:0043005|GO:0045202|GO:0050877|GO:0060012|GO:1902476|GO:1904315|GO:1904456
49	FBgn0033638	5521.85257344676	0.278792495796603	0.0532256887648305	5.23793119950792	1.6238657146565e-07	5.66421916577209e-05	1	CG9005	uncharacterized protein	FBgn0033638	NM_001169647	36243	GO:0003674|GO:0005575|GO:0034976
50	FBgn0033669	1808.3928490506	-0.221961987432961	0.0665946120362647	-3.33303221756272	0.000859049941724311	0.0314076446115976	-1	PI31	Proteasome inhibitor 31 kDa	FBgn0033669	NM_001273976	36277	GO:0003674|GO:0004866|GO:0006511|GO:0007140|GO:0008584|GO:0032436|GO:0032436|GO:0032436|GO:0070628|GO:0070864|GO:0090364
51	FBgn0033702	116.333976742132	1.0243695665768	0.198248407437605	5.16710111227099	2.37752658202161e-07	7.48398977257826e-05	1	CG8854	uncharacterized protein	FBgn0033702	NM_001273985	36324	GO:0003674|GO:0005575|GO:0008150
52	FBgn0033724	92.7624009322939	-0.772574118216589	0.200882755019855	-3.84589567252913	0.000120112865115933	0.00839183823343698	-1	CG8501	uncharacterized protein	FBgn0033724	NM_001299414	36347	NA
53	FBgn0033728	548.450534126061	1.27103692476258	0.292942884419079	4.33885577143515	1.4322647628922e-05	0.00179464165338706	1	Cpr49Ae	Cuticular protein 49Ae	FBgn0033728	NM_136930	36351	GO:0008010|GO:0008010|GO:0040003|GO:0062129|GO:0062129
54	FBgn0033778	879.698865795558	0.436708415810541	0.133439316840394	3.27271171758834	0.00106521061862184	0.0355729532588832	1	Balat	Beta-alanine transporter	FBgn0033778	NM_136979	36417	GO:0001694|GO:0001761|GO:0001762|GO:0005887|GO:0055085
55	FBgn0033936	4227.32922080926	-0.92538046699212	0.116810870315466	-7.92204068416734	2.33643831512591e-15	6.03081457900299e-12	-1	Achl	Achilles	FBgn0033936	NM_001299490	36605	GO:0003723|GO:0003729|GO:0005634|GO:0005844|GO:0010629
56	FBgn0033945	307.236025517216	-0.421995043320522	0.130136836000392	-3.24270249907759	0.00118401774550211	0.0381070648963847	-1	CG12868	uncharacterized protein	FBgn0033945	NM_137127	36620	NA
57	FBgn0034069	310.969985975258	-0.51822408946162	0.149684005414087	-3.46212067233237	0.00053593680145394	0.0236876724642621	-1	CG8401	uncharacterized protein	FBgn0034069	NM_166136	36770	GO:0003674|GO:0005829|GO:0008150|GO:0016020
58	FBgn0034098	57.0189787059684	-1.20841836385795	0.253250400299402	-4.77163456574722	1.82736829624355e-06	0.000343513723806339	-1	krimp	krimper	FBgn0034098	NM_137259	36804	GO:0007310|GO:0007319|GO:0030717|GO:0030719|GO:0034587|GO:0043186|GO:0043186|GO:0046872|GO:0048471
59	FBgn0034128	1090.68559337991	0.326076757575474	0.0931319988722411	3.50123224588777	0.000463112070504989	0.0218319818483608	1	CG4409	uncharacterized protein	FBgn0034128	NM_001103867	36840	NA
60	FBgn0034253	522.952973965018	1.0263106516052	0.236948054919356	4.33137403028904	1.48181715560786e-05	0.00183646997326846	1	CG10936	uncharacterized protein	FBgn0034253	NM_137395	37000	NA
61	FBgn0034400	3675.79913198811	0.16075316374257	0.0478900659335724	3.35671209903006	0.000788751975287666	0.0303260047340623	1	CG15099	uncharacterized protein	FBgn0034400	NM_001274152	37176	GO:0005768|GO:0005802|GO:0006895
62	FBgn0034408	1885.77299866131	0.335184756186696	0.102107694294229	3.28265914242312	0.00102832923499905	0.0348231508138028	1	sano	serrano	FBgn0034408	NM_001144234	37185	GO:0003674|GO:0035159|GO:0042067|GO:0045179
63	FBgn0034494	1162.64267249195	0.238658475248757	0.0649119865291866	3.67664722664817	0.000236319489557761	0.0136158005903235	1	CG10444	uncharacterized protein	FBgn0034494	NM_137621	37294	GO:0006814|GO:0015293|GO:0016020|GO:0055085
64	FBgn0034670	15.0501949996214	-1.90726759600031	0.574161518925566	-3.32183111046765	0.000894288062022433	0.0320602270235042	-1	CG13488	uncharacterized protein	FBgn0034670	NM_001259523	37496	NA
65	FBgn0034693	4834.42336700124	0.366125277266116	0.0781728152984556	4.68353705656229	2.81966450034382e-06	0.000491764730289693	1	CG11073	uncharacterized protein	FBgn0034693	NM_001169774	37519	GO:0003674|GO:0005575|GO:0008150
66	FBgn0034709	3182.62871734238	0.606406999327841	0.191045139775084	3.1741555950691	0.00150273110747642	0.0452080365340108	1	Swim	Secreted Wg-interacting molecule	FBgn0034709	NM_137808	37537	GO:0005615|GO:0005615|GO:0005764|GO:0017147|GO:0035593|GO:0042600|GO:0090263
67	FBgn0034793	784.152482805625	-0.376622813549019	0.113335437581128	-3.3230807732085	0.000890291311968307	0.0320599126018667	-1	asrij	asrij	FBgn0034793	NM_001274214	37637	GO:0002786|GO:0005739|GO:0005764|GO:0005768|GO:0005768|GO:0005769|GO:0005794|GO:0006897|GO:0010821|GO:0010821|GO:0016021|GO:0035162|GO:0035170|GO:0046427|GO:0055037|GO:0061484|GO:0061484|GO:2000736
68	FBgn0034840	9.0036447091782	-5.12224346057738	1.52988531188899	-3.34812251661715	0.000813610347870034	0.0308836916165019	-1	CG3124	uncharacterized protein	FBgn0034840	NM_001299832	37688	NA
69	FBgn0034859	478.673795732357	0.32618016587825	0.097506734061195	3.34520655438567	0.000822213129922338	0.0309929863895474	1	CG3520	uncharacterized protein	FBgn0034859	NM_137948	37708	GO:0003674|GO:0005575|GO:0060147
70	FBgn0034897	5738.11941041049	0.259367838846781	0.077382519666286	3.35176264568938	0.000802988308144443	0.0306608494228171	1	Sesn	Sestrin	FBgn0034897	NM_001103967	37755	GO:0000422|GO:0005634|GO:0010259|GO:0016239|GO:0016684|GO:0016684|GO:0030308|GO:0070728|GO:0071233|GO:1901031|GO:1904262|GO:1904262|GO:1990253|GO:2000377
71	FBgn0035076	1851.2583664695	-0.490718948389559	0.127014519722537	-3.86348702070859	0.000111779835230348	0.00801461418601596	-1	Ance-5	Ance-5	FBgn0035076	NM_133164	37980	GO:0005615|GO:0005886|GO:0008237|GO:0008241
72	FBgn0035099	409.31711378211	-0.640713184528768	0.138055825403003	-4.64097174210827	3.46774549620141e-06	0.000573778504794557	-1	CG6845	uncharacterized protein	FBgn0035099	NM_001144386	38019	GO:0016021
73	FBgn0035237	11541.4411426584	0.194657225499251	0.0584316830888813	3.33136434223801	0.000864214104351172	0.031507195567108	1	CG13917	uncharacterized protein	FBgn0035237	NM_001202088	38186	NA
74	FBgn0035245	1783.5412083118	-0.267207893124315	0.0740034441719003	-3.61074942003545	0.000305313531860474	0.0161490837794724	-1	GC	gamma-glutamyl carboxylase	FBgn0035245	NM_001169852	38194	GO:0008488|GO:0008488|GO:0017187|GO:0017187|GO:0018214|GO:0019842
75	FBgn0035262	223.607366098647	0.520860174744943	0.156062315347577	3.33751407945537	0.000845314390201458	0.0309932599998296	1	CG18171	uncharacterized protein	FBgn0035262	NM_139394	38216	GO:0003674|GO:0005575|GO:0008150
76	FBgn0035308	236.91588563208	0.614911807554583	0.127786539747001	4.81202330677411	1.49409924629908e-06	0.000292164316253575	1	CG15822	uncharacterized protein	FBgn0035308	NM_001144400	38273	GO:0005546|GO:0010314|GO:0032266|GO:0043325|GO:0070273|GO:0080025
77	FBgn0035348	3727.15439823559	0.728330175324803	0.184916474415192	3.93869814805947	8.19249205303033e-05	0.00656722375381425	1	CG16758	uncharacterized protein	FBgn0035348	NM_001259640	38315	GO:0004731|GO:0005737|GO:0009116
78	FBgn0035398	195.750023186702	1.39465588228128	0.319574137227316	4.36410747872645	1.2764281393415e-05	0.00163104767983578	1	Cht7	Chitinase 7	FBgn0035398	NM_139511	38370	GO:0004568|GO:0005576|GO:0005975|GO:0006032|GO:0006032|GO:0008061|GO:0018990|GO:0040003|GO:0042060
79	FBgn0035515	813.695374632481	-0.329590584281894	0.0846196679401656	-3.89496428318469	9.82132007135223e-05	0.00725107545361665	-1	CG14997	uncharacterized protein	FBgn0035515	NM_139620	38514	GO:0005739|GO:0070221|GO:0070224|GO:0071949
80	FBgn0035520	1004.20631515229	-0.290764228715328	0.0870204206362975	-3.34133329383202	0.000833770693386845	0.0309929863895474	-1	CG11586	uncharacterized protein	FBgn0035520	NM_001274481	38520	GO:0000398|GO:0000398|GO:0003676|GO:0005681|GO:0008270|GO:0046540
81	FBgn0035548	8.01997267916573	5.73771214153847	1.70936591365747	3.35663189238498	0.000788980797847082	0.0303260047340623	1	CG15023	uncharacterized protein	FBgn0035548	NM_001274487	38550	NA
82	FBgn0035624	252.728675788639	-0.379606843135643	0.117159874666623	-3.24007553111346	0.00119498041261964	0.0382754032204127	-1	Eaf6	Esa1-associated factor 6	FBgn0035624	NM_139724	38637	GO:0000123|GO:0010698|GO:0016573|GO:0035267|GO:0035267|GO:0043966|GO:0051726|GO:0070776
83	FBgn0035692	1112.42909205454	-0.278049941105403	0.0715354604262831	-3.88688266558278	0.000101539803878994	0.00736220622956345	-1	Sf3b6	Splicing factor 3b subunit 6	FBgn0035692	NM_139780	38720	GO:0000398|GO:0000398|GO:0003723|GO:0003729|GO:0005684|GO:0005686|GO:0005689|GO:0071011|GO:0071011|GO:0071013|GO:0071013
84	FBgn0035695	2217.20963263892	0.303923765812223	0.0919559682319315	3.30510103537452	0.00094942167665598	0.0330973864266829	1	CG10226	uncharacterized protein	FBgn0035695	NM_001274544	38725	GO:0005524|GO:0005886|GO:0008559|GO:0008559|GO:0009636|GO:0015562|GO:0016021|GO:0042626|GO:0042908|GO:0043190|GO:0055085|GO:0097254
85	FBgn0035710	2384.72997185298	0.306841442114675	0.0751753832250607	4.08167446511115	4.47123950003902e-05	0.00408279060531358	1	SP1173	SP1173	FBgn0035710	NM_139796	38744	GO:0003674|GO:0008150|GO:0016020
86	FBgn0035720	64147.321885431	0.222522796085662	0.0709737720075982	3.13528208789354	0.00171688930382087	0.0489174425620448	1	CG10077	uncharacterized protein	FBgn0035720	NM_001274562	38756	GO:0003723|GO:0003724|GO:0003724|GO:0005524|GO:0005634|GO:1990904
87	FBgn0035873	507.893191911015	-0.877987417403986	0.139947551904536	-6.27368900316956	3.52592447711331e-10	2.84409883135152e-07	-1	CG13670	uncharacterized protein	FBgn0035873	NM_139950	38938	GO:0008010|GO:0031012|GO:0040003|GO:0062129
